word,frequency,compound,negative,neutral,positive
impacted,0.779359674285186,0.0,0.0,1.0,0.0
political,1.2285074084381082,0.0,0.0,1.0,0.0
events,1.1788617392701743,0.0,0.0,1.0,0.0
disputes,1.1077226974588712,-0.2732,1.0,0.0,0.0
war,0.4996443408987702,-0.5994,1.0,0.0,0.0
terrorism,0.5343665631209924,-0.6808,1.0,0.0,0.0
natural,1.0687331262419848,0.3612,0.0,0.0,1.0
disasters,1.0234978583451522,-0.5574,1.0,0.0,0.0
health,1.7137922518048556,0.0,0.0,1.0,0.0
issues,1.8670414395027373,0.0,0.0,1.0,0.0
industrial,0.7549051348444893,0.0,0.0,1.0,0.0
accidents,0.9330273225514869,-0.3182,1.0,0.0,0.0
interruptions,0.4457281168078973,-0.4019,1.0,0.0,0.0
harm,0.771584830925576,-0.5423,1.0,0.0,0.0
disrupt,0.4332841124288607,0.0,0.0,1.0,0.0
commerce,0.3388832643028839,0.0,0.0,1.0,0.0
customers,2.9686572958853907,0.0,0.0,1.0,0.0
believes,1.3363390553428847,0.0,0.0,1.0,0.0
generally,1.1361087292847074,0.0,0.0,1.0,0.0
benefits,0.3826592550091373,0.3818,0.0,0.0,1.0
substantially,0.9451093178484449,0.0,0.0,1.0,0.0
performed,0.43270156662269205,0.0,0.0,1.0,0.0
whole,0.5164229062037127,0.0,0.0,1.0,0.0
outsourcing,1.6294045059427673,0.0,0.0,1.0,0.0
primarily,0.764363151922115,0.0,0.0,1.0,0.0
asia,0.6943924277612252,0.0,0.0,1.0,0.0
china,0.2694984457515088,0.0,0.0,1.0,0.0
mainland,0.15824718150170747,0.0,0.0,1.0,0.0
india,0.10374880218825007,0.0,0.0,1.0,0.0
japan,0.10374880218825007,0.0,0.0,1.0,0.0
south,0.10374880218825007,0.0,0.0,1.0,0.0
korea,0.10374880218825007,0.0,0.0,1.0,0.0
taiwan,0.10374880218825007,0.0,0.0,1.0,0.0
vietnam,0.10374880218825007,0.0,0.0,1.0,0.0
policies,0.7218753277801189,0.0,0.0,1.0,0.0
conflicts,0.06876344010780516,-0.3818,1.0,0.0,0.0
sanctions,0.054498379313457405,0.0,0.0,1.0,0.0
restrict,0.23262056702045494,-0.3818,1.0,0.0,0.0
particularly,0.37313341442767517,0.0,0.0,1.0,0.0
regions,0.38635125365222106,0.0,0.0,1.0,0.0
derives,0.11874532455132121,0.0,0.0,1.0,0.0
portion,0.5646053086547539,0.0,0.0,1.0,0.0
revenues,0.06923551220523615,0.0,0.0,1.0,0.0
example,1.142629782625289,0.0,0.0,1.0,0.0
tensions,0.1980568198053569,-0.4019,1.0,0.0,0.0
led,0.11125126424980132,0.0,0.0,1.0,0.0
series,0.07626590216935641,0.0,0.0,1.0,0.0
imposed,0.09389015313869022,-0.0772,1.0,0.0,0.0
imports,0.16574964356325872,0.0,0.0,1.0,0.0
increase,1.515585529563357,0.3182,0.0,0.0,1.0
components,4.8495289596907565,0.0,0.0,1.0,0.0
raw,0.115262668840831,0.0,0.0,1.0,0.0
materials,0.115262668840831,0.0,0.0,1.0,0.0
into,1.5118939416136579,0.0,0.0,1.0,0.0
making,0.15727842088539618,0.0,0.0,1.0,0.0
gross,1.1666346839717048,-0.4767,1.0,0.0,0.0
margin,0.23360736142021796,0.0,0.0,1.0,0.0
earns,0.4161323442503432,0.0,0.0,1.0,0.0
make,1.6386524232138173,0.0,0.0,1.0,0.0
expensive,0.5436296745376172,0.0,0.0,1.0,0.0
less,0.4022715320495899,0.0,0.0,1.0,0.0
competitive,1.7255840372072693,0.1779,0.0,0.0,1.0
reduce,0.81039030855771,0.0,0.0,1.0,0.0
adopt,0.20620568742531262,0.1779,0.0,0.0,1.0
controls,0.4042949105695008,0.0,0.0,1.0,0.0
exports,0.08948374139390232,0.0,0.0,1.0,0.0
goods,0.5804471260986322,0.0,0.0,1.0,0.0
technology,2.417332636837809,0.0,0.0,1.0,0.0
limit,1.0127540761511504,0.0,0.0,1.0,0.0
offer,1.8405562708567889,0.0,0.0,1.0,0.0
designed,0.6542177295662893,0.0,0.0,1.0,0.0
require,1.5255024171641012,0.0,0.0,1.0,0.0
various,1.0556365168633204,0.0,0.0,1.0,0.0
changing,0.9455463076954048,0.0,0.0,1.0,0.0
restructuring,0.06981805801140478,0.0,0.0,1.0,0.0
relationships,0.8255760940846748,0.0,0.0,1.0,0.0
ceasing,0.06981805801140478,0.0,0.0,1.0,0.0
party,4.049022531380075,0.4019,0.0,0.0,1.0
applications,3.1600267332450906,0.0,0.0,1.0,0.0
platforms,0.9103060033675044,0.0,0.0,1.0,0.0
changed,0.08948374139390232,0.0,0.0,1.0,0.0
consuming,0.33447685255809606,0.0,0.0,1.0,0.0
disruptive,0.2676059291008998,-0.3182,1.0,0.0,0.0
announced,0.22853731161054325,0.0,0.0,1.0,0.0
little,0.4703109069224694,0.0,0.0,1.0,0.0
advance,0.4807134788883422,0.0,0.0,1.0,0.0
notice,0.1593017994053071,0.0,0.0,1.0,0.0
able,1.0499127379402946,0.0,0.0,1.0,0.0
effectively,1.2130384032842207,0.4404,0.0,0.0,1.0
mitigate,0.4072420451237094,0.0,0.0,1.0,0.0
further,1.1630733374503774,0.0,0.0,1.0,0.0
escalate,0.10374880218825007,0.0,0.0,1.0,0.0
severe,0.2645098787841364,-0.3818,1.0,0.0,0.0
restrictive,0.12184512525501486,0.0,0.0,1.0,0.0
surrounding,0.1155258086990537,0.0,0.0,1.0,0.0
critical,0.40811877650812006,-0.3182,1.0,0.0,0.0
locations,0.81039030855771,0.0,0.0,1.0,0.0
prone,0.1328869198101648,0.0,0.0,1.0,0.0
